3	1	1487792197
7	1	1487792355
3	1	1487792481
1	1	1487792530
3	1	1487792621
4	1	1487792826
1	1	1487792912
3	1	1487793023
13	1	1487793628
4	1	1487793812
2	1	1487793889
8	1	1487794234
1	1	1487794285
19	1	1487795040
2	1	1487795103
30	1	1487796104
50	1	1487797584
47	1	1487799065
5	1	1487799293
7	1	1487802523
11	1	1487802891
5	1	1487803041
5	1	1487803171
24	1	1487803931
2	1	1487804025
3	1	1487804179
2	1	1487804279
28	1	1487805194
6	1	1487805446
25	1	1487806205
8	1	1487806599
76	1	1487809283
10	1	1487809538
10	1	1487809956
36	1	1487813071
3	1	1487813166
13	1	1487813574
2	1	1487813690
16	1	1487817400
6	1	1487817645
18	1	1487818292
4	1	1487818486
13	1	1487818895
3	1	1487819054
57	1	1487820889
2	1	1487820969
12	1	1487821419
5	1	1487821614
