3	1	1487347873
9	1	1487348117
4	1	1487348285
4	1	1487348445
4	1	1487348597
1	1	1487348650
2	1	1487348753
2	1	1487348828
10	1	1487349255
9	1	1487349579
7	1	1487349750
7	1	1487349967
6	1	1487350183
1	1	1487350250
5	1	1487350391
5	1	1487350566
14	1	1487351115
4	1	1487351330
2	1	1487351456
7	1	1487351677
53	1	1487353457
1	1	1487353515
12	1	1487353840
10	1	1487354203
5	1	1487354384
20	1	1487355050
28	1	1487355998
12	1	1487356365
14	1	1487356797
2	1	1487356876
16	1	1487361153
64	1	1487362958
6	1	1487363239
29	1	1487364161
3	1	1487364276
24	1	1487365357
11	1	1487365787
7	1	1487366044
6	1	1487366249
1	1	1487366296
3	1	1487366395
40	1	1487367778
9	1	1487368132
10	1	1487368546
22	1	1487369324
10	1	1487369658
9	1	1487369922
7	1	1487370170
3	1	1487370324
