3	1	1487524255
1	1	1487524305
20	1	1487524985
5	1	1487525113
28	1	1487525922
17	1	1487526458
9	1	1487526754
26	1	1487527427
1	1	1487527474
4	1	1487527637
12	1	1487528016
30	1	1487528779
7	1	1487529032
2	1	1487529125
5	1	1487529301
3	1	1487529413
1	1	1487529476
18	1	1487529961
11	1	1487530213
7	1	1487530473
8	1	1487530735
19	1	1487531331
3	1	1487531534
18	1	1487532079
6	1	1487532311
7	1	1487532578
3	1	1487532672
27	1	1487533424
6	1	1487533610
11	1	1487533973
20	1	1487534584
14	1	1487534951
26	1	1487536966
22	1	1487537572
8	1	1487537821
11	1	1487538250
19	1	1487538793
7	1	1487538987
2	1	1487539070
59	1	1487540821
4	1	1487540928
20	1	1487541445
1	1	1487541505
5	1	1487541713
17	1	1487542199
18	1	1487542634
8	1	1487543005
3	1	1487543131
5	1	1487543280
5	1	1487543422
